beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9
0.020801267,-0.00502563,0.0031404747,0.018928265,-0.00021540209,0.0027406388,9.641063e-05,1.7979008e-05,0.00138047,-0.0009400055
0.010947337,-0.007859369,0.00046834815,0.023929594,-7.70951e-05,0.0032000947,-5.8768666e-05,0.0004005095,0.001737163,-0.0009985452
0.0089185815,-0.0019519301,-0.0024269866,0.010191476,-0.001224988,0.001046741,-0.00011080154,0.0012485385,0.00092329097,-0.00030946033
0.00063470565,0.0058648037,-0.0042908983,-0.0018581208,-0.002233096,-0.0014714305,-0.00044577115,0.0021454224,0.00015247404,9.89394e-05
0.006940743,0.006009833,-0.0014164643,-0.0008402169,-0.0013191256,-0.0005750485,-0.00022140285,0.0016053279,0.0005975879,-0.00013323035
-0.0023301523,0.009067995,-0.0012776898,-0.01120838,-0.0011333794,-0.0019067066,-6.293401e-05,0.0017670195,0.00012826489,0.0003836588
0.0012293924,0.011569002,-4.389137e-05,-0.01350392,-0.0010559711,-0.002402261,4.822493e-05,0.0015678057,-7.528288e-05,0.0005865777
-0.00765921,0.011199831,-0.0013182638,-0.013675358,-0.0007982241,-0.0026609316,6.2501116e-05,0.0016745399,-0.00029606454,0.0009123513
-0.017068172,0.011907744,-0.0028819544,-0.022075117,-0.0014830079,-0.0036635809,-0.00012884778,0.00214713,-0.00062378345,0.0013507584
-0.017917244,0.013099422,-0.0032264898,-0.026964905,-0.001974759,-0.0040656743,-6.8166875e-05,0.002486326,-0.0008808755,0.0016177683
-0.0118911695,0.011784238,-0.0020896466,-0.023447612,-0.0019931633,-0.003138157,0.00019112776,0.0023470556,-0.0007560066,0.0013697408
-0.015962666,-0.006006672,0.0009969091,0.011637087,0.00052670646,0.0010095829,-0.00025172828,0.00035509752,0.0007463152,2.5950838e-05
0.0022357944,0.004728033,-0.0007925844,0.0019163135,-0.0014187007,-0.0010230899,-0.000118342636,0.0017659783,-0.000476858,0.0012698581
-0.00013625808,0.00487727,-0.0033253478,0.0033947714,-0.0017385739,-0.0011994155,-0.00025633327,0.002294421,-0.00050942146,0.0015466437
-0.0023374204,0.003283062,-0.0053319028,0.0054256506,-0.0016542079,-0.0009826013,-0.00039990875,0.0024543374,-0.00023333903,0.0015319418
-0.008919025,0.005133462,-0.008375003,0.0020085778,-0.002488346,-0.0015746417,-0.00042229507,0.0031266378,-0.00025944598,0.0018371968
-0.0016817022,0.026029442,-0.015216065,-0.039566338,-0.0054922635,-0.0071939942,-0.0006203094,0.0061838836,-0.0020881896,0.0034819169
-0.011381993,0.02452878,-0.017967802,-0.036953993,-0.005095272,-0.00784628,-0.0013661894,0.0065648938,-0.0019649025,0.0034005695
-0.020276764,0.012489195,-0.015159589,-0.01768868,-0.0035553097,-0.0051935166,-0.0013542011,0.0052211536,-0.0010001619,0.0025231636
-0.01962337,0.0149558345,-0.01728918,-0.027974525,-0.004145795,-0.0064788386,-0.0011413359,0.005804175,-0.0016452357,0.0030962618
-0.02004786,0.014761138,-0.01850744,-0.026184978,-0.0041334974,-0.006480375,-0.0013504295,0.0059187505,-0.0017669086,0.0031622353
0.0016624089,0.008603322,-0.01047719,-0.017502489,-0.0024690486,-0.004802626,-0.0010433145,0.0037811291,-0.0013599221,0.0026762073
-0.01203456,0.0026327008,-0.012689996,-0.015887981,-0.00265136,-0.0043944535,-0.0009970453,0.0037177457,-0.0014808517,0.0024101583
-0.0014288183,-0.0017820597,-0.005597283,-0.011829048,-0.0009877305,-0.0023959777,-0.00051820785,0.0019379479,-0.0006359506,0.0014342451
-0.0023864377,0.0027578538,-0.004598926,-0.014927819,-0.0012881394,-0.0026293301,-0.00021352118,0.0020572569,-0.00084078196,0.0013133823
